pBAD/Ara,pCin/OHC14,pCymRC/Cuma,pPhlF/DAPG,pSalTTC/Sal,pLuxB/AHL,pRhaB/Rha
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.40625,0.15625,0.78125,0.048828125,1.5625,3.81e-05,29.88
0.8125,0.3125,1.5625,0.09765625,3.125,0.000153,59.76
1.625,0.625,3.125,0.1953125,6.25,0.00061,119.53
3.25,1.25,6.25,0.390625,12.5,0.00244,239.06
6.5,2.5,12.5,0.78125,25.0,0.00977,478.125
13.0,5.0,25.0,1.5625,50.0,0.0391,956.25
26.0,10.0,50.0,3.125,100.0,0.156,1912.5
52.0,20.0,100.0,6.25,200.0,0.625,3825.0
104.0,40.0,200.0,12.5,400.0,2.5,7650.0
208.0,80.0,400.0,25.0,800.0,10.0,15300.0
416.0,160.0,800.0,50.0,1600.0,40.0,30600.0
